Variable,Skewness_Coef,Skewness_P,Skewness_Sig,Variable_Coef,Variable_P,Variable_Sig,R-squared
Mean,0.05016527057581214,0.15103224117589456,,-0.07958675223293224,0.02285254148822325,**,0.009972960532990571
Median,0.06400068281868954,0.06467798236777292,*,-0.0729923285977252,0.035171030351602274,**,0.009084912531876044
T-4 Return,0.06024657552023327,0.08208284755260033,*,0.060621000770161686,0.08020241759095703,*,0.00743773295596073
T-1 Return,0.058072059111617697,0.09555931577939479,*,-0.03467554692042646,0.3193529845980274,,0.004955685402506127
T-2 Return,0.062380048568742914,0.0723528277396954,*,0.02978208267085982,0.3905972548752662,,0.004649964086331115
Std,0.06070931524780843,0.0803072668264444,*,-0.02304649144638856,0.5064055573381467,,0.0042947767653859215
Kurtosis,0.12109944858820419,0.2594745417069801,,-0.0631304061710947,0.5565245066875165,,0.004179720847876323
T-3 Return,0.06147618101705099,0.07653968932506332,*,0.010038834477778535,0.7722102115869877,,0.003864811579563643
Fear and Greed Index,0.061763139954901854,0.0757781836477055,*,-0.006345617014128568,0.8551024900441413,,0.0038041465328831903
