Variable,Skewness_Coef,Skewness_p,Skewness_Sig,Kurtosis_Coef,Kurtosis_p,Kurtosis_Sig,Variable_Coef,Variable_p,Variable_Sig,R-squared,MSE
Mean,-0.029975510780911985,0.4057654224243088,,0.02809085887245537,0.4336739397903938,,-0.07643223164094165,0.029341622066544237,**,0.00757418683985589,0.9912214129014547
Std,-0.019146214315926575,0.5972623444486863,,0.03274813213412686,0.3624613248737346,,-0.015534115002711308,0.6590001310135778,,0.0020454435593076914,0.9967434465420992
Median,-0.027970424251891307,0.4368828306831186,,0.02711764208530559,0.4502065849619311,,-0.07438356801205101,0.033695853760595994,**,0.007286666763064109,0.9915085840461143
Fear and Greed Index,-0.021104926312161224,0.5571918352369227,,0.03190531330105671,0.3755240349961281,,-0.003780350712870445,0.9140069278665428,,0.001822471753065047,0.9969661477514894
VIX,-0.021697085711272542,0.5485160024931968,,0.031842365159564026,0.37687124496717517,,0.0039787925393313505,0.9099117991762786,,0.0018238626655787682,0.9969647585269765
T-1 Return,-0.02941850119766177,0.4222056113951328,,0.028332186713423472,0.4321887006422558,,-0.039660111502001494,0.26594214154974466,,0.0033145377943968324,0.9954758924699166
T-2 Return,-0.019610674736397188,0.585665011274908,,0.03222114382212126,0.3697517803533241,,0.028155287871828073,0.42049030566837675,,0.0025984018268707665,0.9961911593403949
T-3 Return,-0.021078294648166712,0.5574779718883917,,0.03240443925428506,0.3673157472145471,,0.011322355348989984,0.745685399833846,,0.0019363895220730898,0.9968523682322016
T-4 Return,-0.0182570938067863,0.6111550408059292,,0.03213776293742343,0.3703201362875145,,0.05988434278076721,0.08629593537723239,*,0.005385523426125749,0.9934074201702652
